JKey,Shortname,Title,Volume,Number,Year
J1,TKDE,IEEE Trans. Knowl. Data Eng.,28,6,2016
J2,PVLDB,PVLDB,9,4,2015
J3,VLDB,VLDB J.,21,1,2012
J4,KAIS,Knowl. Inf. Syst.,30,2,2012
J5,PVLDB,PVLDB,7,1,2013
J6,PVLDB,PVLDB,6,8,2013
J7,IS,Inf. Syst.,86,,2019
J8,IS,Inf. Syst.,49,,2015
J9,IS,Inf. Syst.,37,5,2012
J10,PVLDB,PVLDB,6,3,2013
J11,KAIS,Knowl. Inf. Syst.,54,1,2018
J12,DBSK,Datenbank-Spektrum,11,1,2011
J13,KAIS,Knowl. Inf. Syst.,33,3,2012
J14,CACM,Commun. ACM,61,5,2018
J15,TODS,ACM Trans. Database Syst.,41,3,2016
J16,TKDE,IEEE Trans. Knowl. Data Eng.,28,1,2016
J17,CACM,Commun. ACM,59,11,2016
J18,KAIS,Knowl. Inf. Syst.,52,3,2017
J19,DEBU,IEEE Data Eng. Bull.,41,4,2018
J20,KAIS,Knowl. Inf. Syst.,46,3,2016
J21,VLDB,VLDB J.,27,6,2018
J22,TKDE,IEEE Trans. Knowl. Data Eng.,29,9,2017
J23,DBSK,Datenbank-Spektrum,16,3,2016
J24,KAIS,Knowl. Inf. Syst.,60,1,2019
J25,DEBU,IEEE Data Eng. Bull.,42,2,2019
J26,CACM,Commun. ACM,57,6,2014
J27,IS,Inf. Syst.,44,,2014
J28,VLDB,VLDB J.,25,5,2016
J29,TKDE,IEEE Trans. Knowl. Data Eng.,29,4,2017
J30,PVLDB,PVLDB,8,13,2015
J31,TODS,ACM Trans. Database Syst.,42,1,2017
J32,IS,Inf. Syst.,78,,2018
J33,PVLDB,PVLDB,7,6,2014
J34,TKDE,IEEE Trans. Knowl. Data Eng.,29,10,2017
J35,TKDE,IEEE Trans. Knowl. Data Eng.,30,2,2018
J36,SIGMOD,SIGMOD Record,45,4,2016
J37,TODS,ACM Trans. Database Syst.,39,2,2014
J38,IS,Inf. Syst.,36,7,2011
J39,PVLDB,PVLDB,12,8,2019
J40,TKDE,IEEE Trans. Knowl. Data Eng.,31,12,2019
J41,VLDB,VLDB J.,26,3,2017
J42,CACM,Commun. ACM,56,3,2013
J43,CACM,Commun. ACM,62,8,2019
J44,KAIS,Knowl. Inf. Syst.,59,3,2019
J45,TKDE,IEEE Trans. Knowl. Data Eng.,24,2,2012
J46,PVLDB,PVLDB,8,9,2015
J47,DEBU,IEEE Data Eng. Bull.,36,2,2013
J48,TKDE,IEEE Trans. Knowl. Data Eng.,25,12,2013
J49,PVLDB,PVLDB,4,10,2011
J50,PVLDB,PVLDB,11,5,2018
J51,PVLDB,PVLDB,9,12,2016
J52,TKDE,IEEE Trans. Knowl. Data Eng.,31,5,2019
J53,SIGMOD,SIGMOD Record,46,2,2017
J54,KAIS,Knowl. Inf. Syst.,37,2,2013
J55,VLDB,VLDB J.,23,2,2014
J56,PVLDB,PVLDB,7,14,2014
J57,TKDE,IEEE Trans. Knowl. Data Eng.,26,11,2014
J58,PVLDB,PVLDB,12,3,2018
J59,CACM,Commun. ACM,56,8,2013
J60,DEBU,IEEE Data Eng. Bull.,39,3,2016
J61,KAIS,Knowl. Inf. Syst.,50,2,2017
J62,DBSK,Datenbank-Spektrum,13,2,2013
J63,KAIS,Knowl. Inf. Syst.,56,2,2018
J64,IS,Inf. Syst.,36,2,2011
J65,TKDE,IEEE Trans. Knowl. Data Eng.,30,7,2018
J66,KAIS,Knowl. Inf. Syst.,41,1,2014
J67,VLDB,VLDB J.,22,4,2013
J68,TKDE,IEEE Trans. Knowl. Data Eng.,24,7,2012
J69,CACM,Commun. ACM,62,3,2019
J70,IS,Inf. Syst.,65,,2017
J71,KAIS,Knowl. Inf. Syst.,27,3,2011
J72,TODS,ACM Trans. Database Syst.,36,1,2011
J73,SIGMOD,SIGMOD Record,42,3,2013
J74,KAIS,Knowl. Inf. Syst.,43,2,2015
J75,CACM,Commun. ACM,58,12,2015
J76,TKDE,IEEE Trans. Knowl. Data Eng.,26,8,2014
J77,TKDE,IEEE Trans. Knowl. Data Eng.,25,5,2013
J78,IS,Inf. Syst.,57,,2016
J79,CACM,Commun. ACM,59,4,2016
J80,KAIS,Knowl. Inf. Syst.,28,1,2011
J81,TODS,ACM Trans. Database Syst.,37,4,2012
J82,PVLDB,PVLDB,11,10,2018
J83,SIGMOD,SIGMOD Record,44,1,2015
J84,TODS,ACM Trans. Database Syst.,44,4,2019
J85,CACM,Commun. ACM,60,11,2017
J86,DEBU,IEEE Data Eng. Bull.,40,1,2017
J87,VLDB,VLDB J.,23,4,2014
J88,KAIS,Knowl. Inf. Syst.,47,3,2016
J89,CACM,Commun. ACM,62,5,2019
J90,CACM,Commun. ACM,55,10,2012
J91,KAIS,Knowl. Inf. Syst.,34,3,2013
J92,TKDE,IEEE Trans. Knowl. Data Eng.,27,12,2015
J93,KAIS,Knowl. Inf. Syst.,38,2,2014
J94,VLDB,VLDB J.,20,3,2011
J95,TKDE,IEEE Trans. Knowl. Data Eng.,28,11,2016
J96,CACM,Commun. ACM,60,2,2017
J97,VLDB,VLDB J.,24,2,2015
J98,PVLDB,PVLDB,10,11,2017
J99,IS,Inf. Syst.,60,,2016
J100,CACM,Commun. ACM,59,9,2016
J101,TKDE,IEEE Trans. Knowl. Data Eng.,27,8,2015
J102,PVLDB,PVLDB,9,14,2016
J103,IS,Inf. Syst.,73,,2018
J104,KAIS,Knowl. Inf. Syst.,28,3,2011
J105,KAIS,Knowl. Inf. Syst.,57,2,2018
J106,CACM,Commun. ACM,61,10,2018
J107,PVLDB,PVLDB,5,11,2012
J108,KAIS,Knowl. Inf. Syst.,35,1,2013
J109,IS,Inf. Syst.,52,,2015
J110,TKDE,IEEE Trans. Knowl. Data Eng.,27,3,2015
J111,PVLDB,PVLDB,5,5,2012
J112,KAIS,Knowl. Inf. Syst.,29,1,2011
J113,TKDE,IEEE Trans. Knowl. Data Eng.,31,7,2019
J114,TODS,ACM Trans. Database Syst.,38,4,2013
J115,TKDE,IEEE Trans. Knowl. Data Eng.,25,2,2013
J116,DEBU,IEEE Data Eng. Bull.,34,1,2011
J117,TKDE,IEEE Trans. Knowl. Data Eng.,26,5,2014
J118,CACM,Commun. ACM,54,2,2011
J119,TODS,ACM Trans. Database Syst.,37,1,2012
J120,SIGMOD,SIGMOD Record,43,3,2014
J121,PVLDB,PVLDB,4,12,2011
J122,CACM,Commun. ACM,60,7,2017
J123,KAIS,Knowl. Inf. Syst.,44,2,2015
J124,PVLDB,PVLDB,4,7,2011
J125,PVLDB,PVLDB,10,7,2017
J126,TKDE,IEEE Trans. Knowl. Data Eng.,23,4,2011
J127,IS,Inf. Syst.,81,,2019
J128,CACM,Commun. ACM,57,8,2014
J129,PVLDB,PVLDB,13,3,2019
J130,IS,Inf. Syst.,37,7,2012
J131,CACM,Commun. ACM,55,5,2012
J132,DBSK,Datenbank-Spektrum,17,3,2017
J133,TKDE,IEEE Trans. Knowl. Data Eng.,29,1,2017
J134,IS,Inf. Syst.,37,2,2012
J135,DEBU,IEEE Data Eng. Bull.,37,2,2014
J136,KAIS,Knowl. Inf. Syst.,55,1,2018
J137,PVLDB,PVLDB,10,2,2016
J138,CACM,Commun. ACM,54,7,2011
J139,DBSK,Datenbank-Spektrum,14,2,2014
J140,CACM,Commun. ACM,58,6,2015
J141,DBSK,Datenbank-Spektrum,18,1,2018
J142,DEBU,IEEE Data Eng. Bull.,35,4,2012
J143,TKDE,IEEE Trans. Knowl. Data Eng.,23,9,2011
J144,TODS,ACM Trans. Database Syst.,42,3,2017
J145,PVLDB,PVLDB,8,1,2014
J146,VLDB,VLDB J.,28,1,2019
J147,KAIS,Knowl. Inf. Syst.,31,2,2012
J148,CACM,Commun. ACM,57,3,2014
J149,KAIS,Knowl. Inf. Syst.,53,3,2017
J150,TODS,ACM Trans. Database Syst.,43,1,2018
J151,PVLDB,PVLDB,7,8,2014
J152,PVLDB,PVLDB,9,9,2016
J153,VLDB,VLDB J.,27,3,2018
J154,TKDE,IEEE Trans. Knowl. Data Eng.,29,6,2017
J155,PVLDB,PVLDB,7,3,2013
J156,PVLDB,PVLDB,6,10,2013
J157,SIGMOD,SIGMOD Record,40,2,2011
J158,KAIS,Knowl. Inf. Syst.,48,1,2016
J159,PVLDB,PVLDB,8,10,2015
J160,TKDE,IEEE Trans. Knowl. Data Eng.,31,2,2019
J161,IS,Inf. Syst.,38,5,2013
J162,KAIS,Knowl. Inf. Syst.,40,3,2014
J163,VLDB,VLDB J.,21,6,2012
J164,SIGMOD,SIGMOD Record,47,2,2018
J165,CACM,Commun. ACM,58,1,2015
J166,VLDB,VLDB J.,28,6,2019
J167,PVLDB,PVLDB,8,6,2015
J168,KAIS,Knowl. Inf. Syst.,61,1,2019
J169,TKDE,IEEE Trans. Knowl. Data Eng.,30,4,2018
J170,IS,Inf. Syst.,41,,2014
J171,IS,Inf. Syst.,54,,2015
J172,VLDB,VLDB J.,28,3,2019
J173,TODS,ACM Trans. Database Syst.,39,4,2014
J174,SIGMOD,SIGMOD Record,46,4,2017
J175,PVLDB,PVLDB,10,4,2016
J176,IS,Inf. Syst.,67,,2017
J177,KAIS,Knowl. Inf. Syst.,49,1,2016
J178,CACM,Commun. ACM,58,3,2015
J179,TKDE,IEEE Trans. Knowl. Data Eng.,23,1,2011
J180,DBSK,Datenbank-Spektrum,15,2,2015
J181,PVLDB,PVLDB,7,11,2014
J182,VLDB,VLDB J.,29,1,2020
J183,CACM,Commun. ACM,54,11,2011
J184,TKDE,IEEE Trans. Knowl. Data Eng.,32,2,2020
J185,VLDB,VLDB J.,25,2,2016
J186,TKDE,IEEE Trans. Knowl. Data Eng.,29,12,2017
J187,PVLDB,PVLDB,11,2,2017
J188,CACM,Commun. ACM,56,5,2013
J189,DEBU,IEEE Data Eng. Bull.,38,2,2015
J190,CACM,Commun. ACM,55,7,2012
J191,DEBU,IEEE Data Eng. Bull.,35,1,2012
J192,TKDE,IEEE Trans. Knowl. Data Eng.,30,10,2018
J193,TODS,ACM Trans. Database Syst.,40,2,2015
J194,DBSK,Datenbank-Spektrum,12,1,2012
J195,KAIS,Knowl. Inf. Syst.,48,3,2016
J196,VLDB,VLDB J.,22,1,2013
J197,DBSK,Datenbank-Spektrum,18,3,2018
J198,TKDE,IEEE Trans. Knowl. Data Eng.,24,4,2012
J199,KAIS,Knowl. Inf. Syst.,26,2,2011
J200,KAIS,Knowl. Inf. Syst.,62,1,2020
J201,PVLDB,PVLDB,9,6,2016
J202,DBSK,Datenbank-Spektrum,19,1,2019
J203,IS,Inf. Syst.,38,7,2013
J204,TODS,ACM Trans. Database Syst.,36,3,2011
J205,DEBU,IEEE Data Eng. Bull.,36,4,2013
J206,TKDE,IEEE Trans. Knowl. Data Eng.,23,6,2011
J207,VLDB,VLDB J.,21,3,2012
J208,CACM,Commun. ACM,59,1,2016
J209,PVLDB,PVLDB,6,12,2013
J210,DBSK,Datenbank-Spektrum,11,3,2011
J211,IS,Inf. Syst.,38,2,2013
J212,KAIS,Knowl. Inf. Syst.,54,3,2018
J213,CACM,Commun. ACM,62,11,2019
J214,PVLDB,PVLDB,8,3,2014
J215,KAIS,Knowl. Inf. Syst.,39,2,2014
J216,TKDE,IEEE Trans. Knowl. Data Eng.,24,10,2012
J217,VLDB,VLDB J.,22,6,2013
J218,TKDE,IEEE Trans. Knowl. Data Eng.,30,9,2018
J219,SIGMOD,SIGMOD Record,48,2,2019
J220,IS,Inf. Syst.,59,,2016
J221,KAIS,Knowl. Inf. Syst.,32,2,2012
J222,SIGMOD,SIGMOD Record,41,2,2012
J223,PVLDB,PVLDB,9,1,2015
J224,KAIS,Knowl. Inf. Syst.,42,1,2015
J225,TKDE,IEEE Trans. Knowl. Data Eng.,25,7,2013
J226,KAIS,Knowl. Inf. Syst.,51,2,2017
J227,PVLDB,PVLDB,12,11,2019
J228,CACM,Commun. ACM,60,4,2017
J229,KAIS,Knowl. Inf. Syst.,41,3,2014
J230,CACM,Commun. ACM,57,10,2014
J231,PVLDB,PVLDB,5,7,2012
J232,TKDE,IEEE Trans. Knowl. Data Eng.,27,5,2015
J233,IS,Inf. Syst.,62,,2016
J234,TODS,ACM Trans. Database Syst.,44,1,2019
J235,TKDE,IEEE Trans. Knowl. Data Eng.,24,9,2012
J236,TKDE,IEEE Trans. Knowl. Data Eng.,28,8,2016
J237,IS,Inf. Syst.,75,,2018
J238,PVLDB,PVLDB,11,12,2018
J239,CACM,Commun. ACM,59,6,2016
J240,CACM,Commun. ACM,61,2,2018
J241,CACM,Commun. ACM,56,11,2013
J242,IS,Inf. Syst.,88,,2020
J243,PVLDB,PVLDB,5,2,2011
J244,SIGMOD,SIGMOD Record,45,1,2016
J245,KAIS,Knowl. Inf. Syst.,36,1,2013
J246,PVLDB,PVLDB,11,7,2018
J247,DEBU,IEEE Data Eng. Bull.,41,1,2018
J248,IS,Inf. Syst.,36,4,2011
J249,CACM,Commun. ACM,54,4,2011
J250,IS,Inf. Syst.,83,,2019
J251,CACM,Commun. ACM,60,9,2017
J252,KAIS,Knowl. Inf. Syst.,58,2,2019
J253,KAIS,Knowl. Inf. Syst.,45,2,2015
J254,DEBU,IEEE Data Eng. Bull.,40,3,2017
J255,CACM,Commun. ACM,55,2,2012
J256,KAIS,Knowl. Inf. Syst.,60,3,2019
J257,KAIS,Knowl. Inf. Syst.,35,3,2013
J258,TODS,ACM Trans. Database Syst.,38,1,2013
J259,SIGMOD,SIGMOD Record,44,3,2015
J260,PVLDB,PVLDB,12,5,2019
J261,VLDB,VLDB J.,24,4,2015
J262,IS,Inf. Syst.,46,,2014
J263,CACM,Commun. ACM,61,7,2018
J264,PVLDB,PVLDB,6,5,2013
J265,TKDE,IEEE Trans. Knowl. Data Eng.,28,3,2016
J266,VLDB,VLDB J.,26,5,2017
J267,DEBU,IEEE Data Eng. Bull.,37,4,2014
J268,TKDE,IEEE Trans. Knowl. Data Eng.,25,4,2013
J269,PVLDB,PVLDB,6,2,2012
J270,TKDE,IEEE Trans. Knowl. Data Eng.,31,9,2019
J271,CACM,Commun. ACM,54,9,2011
J272,VLDB,VLDB J.,27,5,2018
J273,IS,Inf. Syst.,36,6,2011
J274,PVLDB,PVLDB,12,7,2019
J275,TODS,ACM Trans. Database Syst.,41,2,2016
J276,KAIS,Knowl. Inf. Syst.,29,3,2011
J277,KAIS,Knowl. Inf. Syst.,30,1,2012
J278,TKDE,IEEE Trans. Knowl. Data Eng.,23,11,2011
J279,TKDE,IEEE Trans. Knowl. Data Eng.,28,5,2016
J280,KAIS,Knowl. Inf. Syst.,61,3,2019
J281,PVLDB,PVLDB,10,9,2017
J282,CACM,Commun. ACM,57,5,2014
J283,KAIS,Knowl. Inf. Syst.,42,3,2015
J284,TKDE,IEEE Trans. Knowl. Data Eng.,29,3,2017
J285,IS,Inf. Syst.,70,,2017
J286,IS,Inf. Syst.,36,1,2011
J287,PVLDB,PVLDB,6,7,2013
J288,PVLDB,PVLDB,12,13,2019
J289,SIGMOD,SIGMOD Record,47,4,2018
J290,CACM,Commun. ACM,59,10,2016
J291,PVLDB,PVLDB,7,5,2014
J292,IS,Inf. Syst.,56,,2016
J293,DEBU,IEEE Data Eng. Bull.,34,3,2011
J294,KAIS,Knowl. Inf. Syst.,52,2,2017
J295,PVLDB,PVLDB,12,2,2018
J296,TKDE,IEEE Trans. Knowl. Data Eng.,25,9,2013
J297,CACM,Commun. ACM,56,2,2013
J298,CACM,Commun. ACM,62,7,2019
J299,CACM,Commun. ACM,61,12,2018
J300,DBSK,Datenbank-Spektrum,16,2,2016
J301,PVLDB,PVLDB,13,5,2020
J302,KAIS,Knowl. Inf. Syst.,59,2,2019
J303,VLDB,VLDB J.,26,2,2017
J304,TKDE,IEEE Trans. Knowl. Data Eng.,26,10,2014
J305,CACM,Commun. ACM,61,4,2018
J306,VLDB,VLDB J.,20,5,2011
J307,KAIS,Knowl. Inf. Syst.,36,3,2013
J308,IS,Inf. Syst.,37,4,2012
J309,IS,Inf. Syst.,48,,2015
J310,SIGMOD,SIGMOD Record,46,1,2017
J311,DEBU,IEEE Data Eng. Bull.,42,1,2019
J312,TKDE,IEEE Trans. Knowl. Data Eng.,30,1,2018
J313,KAIS,Knowl. Inf. Syst.,27,2,2011
J314,KAIS,Knowl. Inf. Syst.,37,1,2013
J315,VLDB,VLDB J.,23,1,2014
J316,PVLDB,PVLDB,10,13,2017
J317,PVLDB,PVLDB,8,12,2015
J318,TODS,ACM Trans. Database Syst.,37,3,2012
J319,CACM,Commun. ACM,55,12,2012
J320,SIGMOD,SIGMOD Record,40,4,2011
J321,TKDE,IEEE Trans. Knowl. Data Eng.,29,8,2017
J322,KAIS,Knowl. Inf. Syst.,56,1,2018
J323,TKDE,IEEE Trans. Knowl. Data Eng.,31,11,2019
J324,KAIS,Knowl. Inf. Syst.,49,3,2016
J325,TKDE,IEEE Trans. Knowl. Data Eng.,25,11,2013
J326,CACM,Commun. ACM,62,2,2019
J327,KAIS,Knowl. Inf. Syst.,46,2,2016
J328,IS,Inf. Syst.,77,,2018
J329,PVLDB,PVLDB,8,8,2015
J330,PVLDB,PVLDB,9,11,2016
J331,CACM,Commun. ACM,58,11,2015
J332,PVLDB,PVLDB,4,9,2011
J333,TKDE,IEEE Trans. Knowl. Data Eng.,26,7,2014
J334,CACM,Commun. ACM,58,8,2015
J335,TKDE,IEEE Trans. Knowl. Data Eng.,24,1,2012
J336,TKDE,IEEE Trans. Knowl. Data Eng.,31,4,2019
J337,KAIS,Knowl. Inf. Syst.,33,2,2012
J338,DEBU,IEEE Data Eng. Bull.,36,1,2013
J339,TKDE,IEEE Trans. Knowl. Data Eng.,30,6,2018
J340,IS,Inf. Syst.,69,,2017
J341,CACM,Commun. ACM,56,7,2013
J342,DBSK,Datenbank-Spektrum,13,1,2013
J343,TODS,ACM Trans. Database Syst.,43,3,2018
J344,VLDB,VLDB J.,23,6,2014
J345,KAIS,Knowl. Inf. Syst.,43,1,2015
J346,DBSK,Datenbank-Spektrum,12,3,2012
J347,SIGMOD,SIGMOD Record,42,2,2013
J348,VLDB,VLDB J.,22,3,2013
J349,PVLDB,PVLDB,4,4,2011
J350,TKDE,IEEE Trans. Knowl. Data Eng.,26,2,2014
J351,KAIS,Knowl. Inf. Syst.,55,3,2018
J352,PVLDB,PVLDB,10,10,2017
J353,DBSK,Datenbank-Spektrum,19,3,2019
J354,CACM,Commun. ACM,59,8,2016
J355,KAIS,Knowl. Inf. Syst.,53,2,2017
